description,name,zipcrid,zip,cr,ex_name,state,statefips,countyfips,lat,lon,totrescnt,mfdu,sfdu,boxcnt,bizcnt,relver,geometry
,20001C024,20001C024,20001,C024,WASHINGTON,DC,11,11001,38.9081201298995,-77.012689842002,655,109,546,0,24,1.13.2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.009002,38.907274,0.0 -77.009018,38.909638,0.0 -77.009026,38.910381,0.0 -77.012163,38.91038,0.0 -77.012163,38.90964,0.0 -77.016163,38.909642,0.0 -77.016173,38.908571,0.0 -77.015908,38.908574,0.0 -77.015441,38.907235,0.0 -77.016175,38.907237,0.0 -77.01618,38.904879,0.0 -77.015238,38.905196,0.0 -77.015243,38.90565,0.0 -77.014901,38.905652,0.0 -77.014814,38.905417,0.0 -77.01365,38.905813,0.0 -77.013655,38.907234,0.0 -77.01217,38.907235,0.0 -77.01216,38.906269,0.0 -77.010098,38.906984,0.0 -77.009002,38.907274,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,20001C026,20001C026,20001,C026,WASHINGTON,DC,11,11001,38.9150366742051,-77.0116861283889,613,78,535,0,27,1.13.2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.015735,38.914557,0.0 -77.015774,38.913972,0.0 -77.014167,38.914084,0.0 -77.012157,38.914085,0.0 -77.009013,38.914085,0.0 -77.009042,38.916882,0.0 -77.012155,38.915795,0.0 -77.012156,38.915528,0.0 -77.01434,38.915569,0.0 -77.014278,38.915054,0.0 -77.015735,38.914557,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,20001C034,20001C034,20001,C034,WASHINGTON,DC,11,11001,38.9109651947125,-77.0229501560571,704,379,325,0,48,1.13.2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.025988,38.908572,0.0 -77.025989,38.909645,0.0 -77.02397,38.909646,0.0 -77.020923,38.909643,0.0 -77.020922,38.911123,0.0 -77.018923,38.911121,0.0 -77.018925,38.912606,0.0 -77.0199,38.912606,0.0 -77.019901,38.91309,0.0 -77.021252,38.912615,0.0 -77.022945,38.912605,0.0 -77.023968,38.912606,0.0 -77.023968,38.911125,0.0 -77.024816,38.911125,0.0 -77.025178,38.911256,0.0 -77.02704,38.910665,0.0 -77.027036,38.909645,0.0 -77.027036,38.908576,0.0 -77.025988,38.908572,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,20001C031,20001C031,20001,C031,WASHINGTON,DC,11,11001,38.9085400411138,-77.0206903412596,883,658,225,0,33,1.13.2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.021919,38.90724,0.0 -77.021914,38.905643,0.0 -77.019901,38.905643,0.0 -77.019901,38.908573,0.0 -77.016173,38.908571,0.0 -77.016163,38.909642,0.0 -77.018927,38.909642,0.0 -77.018923,38.911121,0.0 -77.020922,38.911123,0.0 -77.020923,38.909643,0.0 -77.02397,38.909646,0.0 -77.023963,38.907244,0.0 -77.021919,38.90724,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,20001C012,20001C012,20001,C012,WASHINGTON,DC,11,11001,38.9013595581055,-77.0113639831543,302,302,0,0,121,1.13.2,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-77.010661,38.893948,0.0 -77.009498,38.894789,0.0 -77.009062,38.89479,0.0 -77.009059,38.896125,0.0 -77.00951,38.896122,0.0 -77.011432,38.896123,0.0 -77.010661,38.893948,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-77.012174,38.900199,0.0 -77.012162,38.901319,0.0 -77.009063,38.901312,0.0 -77.009064,38.902515,0.0 -77.013722,38.902514,0.0 -77.013648,38.902273,0.0 -77.013678,38.900204,0.0 -77.012814,38.9002,0.0 -77.012174,38.900199,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-77.009229,38.897535,0.0 -77.009066,38.897555,0.0 -77.009066,38.898917,0.0 -77.011317,38.898927,0.0 -77.011905,38.898637,0.0 -77.012301,38.898804,0.0 -77.012147,38.898293,0.0 -77.011182,38.89833,0.0 -77.010258,38.897954,0.0 -77.009229,38.897535,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-77.013659,38.896124,0.0 -77.01366,38.899231,0.0 -77.014076,38.899382,0.0 -77.014259,38.899439,0.0 -77.014237,38.896126,0.0 -77.013659,38.896124,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
,20001C028,20001C028,20001,C028,WASHINGTON,DC,11,11001,38.9008315403335,-77.0176104606689,1526,1525,1,0,15,1.13.2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.016204,38.899789,0.0 -77.0162,38.900154,0.0 -77.01524,38.899764,0.0 -77.015175,38.900265,0.0 -77.015173,38.901329,0.0 -77.018927,38.901322,0.0 -77.018928,38.902521,0.0 -77.019907,38.902521,0.0 -77.019918,38.901469,0.0 -77.019909,38.900867,0.0 -77.018929,38.900863,0.0 -77.018931,38.899809,0.0 -77.016204,38.899789,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,20001C022,20001C022,20001,C022,WASHINGTON,DC,11,11001,38.905981881734,-77.0193179756285,931,704,227,0,20,1.13.2,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-77.00951,38.896122,0.0 -77.009059,38.896125,0.0 -77.009062,38.897341,0.0 -77.009589,38.897339,0.0 -77.00951,38.896122,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-77.019901,38.905643,0.0 -77.018932,38.905644,0.0 -77.018932,38.904174,0.0 -77.018221,38.904164,0.0 -77.018065,38.904284,0.0 -77.016712,38.904776,0.0 -77.016281,38.904923,0.0 -77.01618,38.904879,0.0 -77.016175,38.907237,0.0 -77.015441,38.907235,0.0 -77.015908,38.908574,0.0 -77.016173,38.908571,0.0 -77.019901,38.908573,0.0 -77.019901,38.905643,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-77.019898,38.904163,0.0 -77.019901,38.905643,0.0 -77.021914,38.905643,0.0 -77.021919,38.90724,0.0 -77.023963,38.907244,0.0 -77.02396,38.906105,0.0 -77.023959,38.905655,0.0 -77.023933,38.904178,0.0 -77.019898,38.904163,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
,20001C033,20001C033,20001,C033,WASHINGTON,DC,11,11001,38.8992919921875,-77.01513671875,981,976,5,0,59,1.13.2,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-77.018931,38.898314,0.0 -77.018931,38.899809,0.0 -77.01991,38.899811,0.0 -77.019906,38.89831,0.0 -77.018931,38.898314,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-77.016185,38.89833,0.0 -77.01519,38.898304,0.0 -77.014566,38.898339,0.0 -77.014259,38.899439,0.0 -77.014076,38.899382,0.0 -77.014085,38.9002,0.0 -77.015175,38.900265,0.0 -77.01524,38.899764,0.0 -77.0162,38.900154,0.0 -77.016204,38.899789,0.0 -77.016185,38.89833,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-77.016185,38.89833,0.0 -77.018931,38.898314,0.0 -77.018929,38.897337,0.0 -77.016182,38.897342,0.0 -77.016185,38.89833,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
,20001C025,20001C025,20001,C025,WASHINGTON,DC,11,11001,38.9170329417828,-77.0164536842039,797,204,593,0,13,1.13.2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.020036,38.915731,0.0 -77.019998,38.915653,0.0 -77.017332,38.915909,0.0 -77.017066,38.914208,0.0 -77.0169,38.914137,0.0 -77.015735,38.914557,0.0 -77.014278,38.915054,0.0 -77.01434,38.915569,0.0 -77.012156,38.915528,0.0 -77.012155,38.915795,0.0 -77.012155,38.916283,0.0 -77.01442,38.916279,0.0 -77.014749,38.919174,0.0 -77.014802,38.919663,0.0 -77.017872,38.91937,0.0 -77.019093,38.919254,0.0 -77.01869,38.916634,0.0 -77.020159,38.916494,0.0 -77.020036,38.915731,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,20001C004,20001C004,20001,C004,WASHINGTON,DC,11,11001,38.9053497314453,-77.0259552001953,909,887,22,0,24,1.13.2,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-77.02598,38.904172,0.0 -77.024883,38.904165,0.0 -77.024874,38.905646,0.0 -77.023959,38.905655,0.0 -77.02396,38.906105,0.0 -77.024622,38.906093,0.0 -77.02467,38.906522,0.0 -77.025201,38.906532,0.0 -77.025264,38.906495,0.0 -77.02525,38.90612,0.0 -77.025983,38.906007,0.0 -77.025983,38.905643,0.0 -77.027037,38.905647,0.0 -77.027047,38.904166,0.0 -77.02598,38.904172,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-77.019909,38.900867,0.0 -77.019918,38.901469,0.0 -77.021915,38.902101,0.0 -77.021911,38.90087,0.0 -77.019909,38.900867,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
